empresa;documento;número de ordens
COND. EDIF. EDEN ROC;02.444.654/0001-30;0
COND. EDIF. EQUIPAGE;53.831.996/0001-43;0
ASSOC DO EDIFICIO  MAJOR QUEDINHO;14.784.017/0001-91;0
COND. ALAMEDA COTEGIPE;20.309.349/0001-17;0
CAMPO LIMPO - RECICLAGEM E TRANSFORMACAO DE PLASTICOS S.A.;09456668000201;0
ALLIED TECNOLOGIA S.A.   ;20247322022469;0
COND. EDIF. ITAUBA;00.314.878/0001-00;0
COND. EDIF. DIAMOND PLACE;56.098.783/0001-42;0
COND. EDIF. GUATAN;74.077.298/0001-74;0
ALLIED TECNOLOGIA S.A.;20247322016221;0
ALLIED TECNOLOGIA S.A.;20247322021900;0
CAFETERIAS TRES CORACOES LTDA ;05560126000720;0
COND. EDIF. FRAGATA;54.069.240/0001-71;0
COND. EDIF. MORUMBI FREE LIFE;64.035.058/0001-53;0
ALLIEDTECNOLOGIA S.A.;20247322018437;0
COND. EDIF. ITABORAÍ;61.062.121/0001-52;0
CAFÉ TRÊS CORAÇÕES S/A;17467515004358;0
COND. EDIF. LE BEAU CHAMP;03.111.186/0001-44;0
BOULEVARD DO PARQUE;15.243.726/0001-22;0
COND. EDIF. CHÁCARA DAS FLORES;53.835.344/0001-87;0
COND. EDIF. CONDE DE OXFORD;71.738.512/0001-06;0
B.blend Máquinas e Bebidas S.A - Sete Lagoas;22172203000289;0
COND. EDIF. ITABORAÍ;61.062.121/0001-52;0
COND. EDIF. FIRST PLACE;65.030.413/0001-64;0
COND. EDIF. NEW CLASSIC BUSINESS CENTER;00.615.429/0001-93;0
CAFÉ TRÊS CORAÇÕES S/A;17467515001685;0
COND. EDIF. LUCIANA;54.030.986/0001-71;0
B.blend máquinas e bebidas S.A;22172203000521;0
COND. EDIF. IMMAGINATO CASA VERDE;24.658.971/0001-91;0
CAFÉ TRÊS CORAÇÕES S/A;17467515000101;0
COND. EDIF. LEBLON;62.578.000/0001-20;0
COND. EDIF. AMPLAVISÃO - PENDÊNCIAS;67.184.556/0001-56;0
COND. EDIF. BELAS ARTES;61.572.061/0001-18;0
COND. EDIF. UNIVERSUM;54.198.577/0001-89;0
COND. EDIF. SAO JUDAS PARK;02.446.969/0001-16;0
COND. EDIF. ARARUAMA;96.478.102/0001-96;0
COND. EDIF. PLAZA WORK CENTER;00.770.142/0001-38;0
COND. EDIF. AMPLAVISÃO;67.184.556/0001-56;0
COND. EDIF. LONDONDERRY; 00.156.982/0001-05;0
COND. EDIF. VILA ADRIANO/SAVOY;58.105.263/0001-45;0
COND. EDIF. MAISON DE LILLE;54.072.368/0001-94;0
COND. EDIF. LONG CHAMPS;54.224.241/0001-43;0
COND. EDIF. SAMAMBAIA;59.485.953/0001-30;0
COND. EDIF. ANA PAULA;54.457.809/0001-76;0
COND. EDIF. BROOKLIN SELF PROJECT;05.461.222/0001-25;0
COND. EDIF. LE BEAU CHAMP;03.111.186/0001-44;0
COND. EDIF. PRINCE OF EDINBURGH;01.278.413/0001-03;0
COND. EDIF. ARARUAMA;96.478.102/0001-96;0
COND. EDIF. MY JOY;26.461.080/0001-76;0
CAFÉ TRÊS CORAÇÕES S/A;17467515002908;0
COND. EDIF. CARNAUBEIRAS;02.032.002/0001-98;0
CAFÉ TRÊS CORAÇÕES S/A;17467515003114;0
COND. EDIF. WINTER PARK;03.135.904/0001-12;0
COND. EDIF. BUTANTA;71.928.402/0001-07;0
COND. EDIF. THE GABLES;00.240.953/0001-27;0
COND. EDIF. JARDIM DAS ORQUIDEAS;55.383.996/0001-53;0
COND. EDIF. LUA DE SETIN;62.580.733/0001-08;0
COND. EDIF. MANSAO CAVIUNA;67.988.287/0001-80;0
COND. EDIF. PAJUÇARA;57.861.502/0001-24;0
COND. LIBER BOSQUE DOS JEQUITIBAS;18.310.568/0001-74;0
COND. EDIF.CONJ. COM. PERDIZES TOWER;03.487.315/0001-01;0
COND. EDIF. PAÇO DE TOLEDO;38.885.224/0001-09;0
COND. EDIF. MAISON DE LILLE - OBRAS;54.072.368/0001-94;0
COND. EDIF. MAISON COTE D'AZUR;53.827.515/0001-26;0
COND. EDIF. PAULISTA SUL;04.974.653/0001-22;0
COND. EDIF. NATALIE;55.382.329/0001-56;0
COND. EDIF. PAÇO DA MATTA;54.199.708/0001-42;0
COND. EDIF. NEW ORLEANS;54.062.302/0001-13;0
COND. EDIF. ROSENGARTEN;03.787.303/0001-94;0
COND. EDIF. LUA DE SETIN;62.580.733/0001-08;0
COND. EDIF. ROYAL MORUMBI;60.536.083/0001-60;0
COND. EDIF. SAO JOAO;54.641.725/0001-98;0
COND. EDIF. PIAZZA FLORENCA;02.163.891/0001-22;0
COND. EDIFICIO VIDA VIVA PARQUE SANTANA;13.172.018/0001-12;0
COND. EDIF. MAISON DE LILLE;54.072.368/0001-94;0
COND. EDIF. GUARACIARA;56.567.431/0001-99;0
COND. EDIF. SILVER TOWER;03.198.040/0001-88;0
COND. EDIF. PREDILETTO;10.322.018/0001-63;0
COND. TORRES DO IBIRAPUERA;68.483.650/0001-79;0
COND. EDIF. SAN FRANCISCO;58.005.372/0001-90;0
COND. LE QUARTIER MOEMA;07.286.143/0001-50;0
COND. EDIF. MAISON COTE D'AZUR;53.827.515/0001-26;0
COND. EDIF. MAISON LIEGE;67.008.557/0001-40;0
COND. EDIF. VILLA BRUNO GIORGI;00.420.592/0001-09;0
CHÁCARA DAS FLORES - EDIF.  FLAMBOYANT;53.835.344/0001-87;0
COND. EDIF. JARDIM DAS ORQUIDEAS;55.383.996/0001-53;0
COND. EDIFÍCIOS OURO PRETO E MARIANA;64.030.919/0001-00;0
CHÁCARA DAS FLORES - EDIF. BOUGAINVILLE;53.835.344/0001-87;0
COND.EDIF. PARQUE DAS ACACIAS;54.068.655/0001-20;0
COND. EDIF. MONTE OLIMPO;00.409.791/0001-08;0
CONDOMINIO EDIFICIO VISAGE;10.545.498/0001-21;0
COND. EDIF. E GALERIAS SÃO BENTO;53.823.555/0001-08;0
COND. EDIF. SOLAR DOS ARRUDAS;53.828.794/0001-42;0
COND. EDIF. TWIN TOWERS THE DUPLEX;03.226.759/0001-85;0
COND. EDIF. LONG CHAMPS;54.224.241/0001-43;0
COND.EDIF. EAST BROOKLIN;68.481.688/0001-02;0
COND. EDIF. JARDINS DE BROOKLIN;55.382.386/0001-35;0
COND. EDIF. PORTO CERVO;06.242.500/0001-16;0
COND. EDIF. LUCIANA;54.030.986/0001-71;0
COND. EDIF. ITAMARACA;62.026.273/0001-62;0
COND. EDIF. SAINT GERMAIN;00.929.205/0001-56;0
COND. EDIF. PORTAL MARAJOARA;03.729.528/0001-94;0
COND. EDIF. MAISON LIEGE;67.008.557/0001-40;0
COND. EDIF. MAISON MONT SERRAT;54.209.226/0001-26;0
COND. EDIF. MAISON DE LILLE - OBRAS;54.072.368/0001-94;0
CONDOMINIO EDIFICIO OASIS CURSINO;20.891.731/0001-81;0
COND. EDIF. PORT CHESTER;55.951.388/0001-06;0
COND. EDIF. WORK CENTER 5;04.459.604/0001-51;0
COND. ORVALHO GRANJA VIANA;11.979.466/0001-05;0
COND. EDIF. VILA D´ESTE;56.319.890/0001-53;0
COND.EDIF. MAISON PLATINE;69.293.025/0001-27;0
COND. VILA BOUGANVILLE;04.264.907/0001-19;0
COND.EDIF. IMPERIAL TOWER;59.485.797/0001-07;0
COND. EDIF. MANSAO LA FONTAINE;59.480.905/0001-59;0
COND. VILA BOUGANVILLE;04.264.907/0001-19;0
COND.EDIF. GAR MAJOR QUEDINHO;61.053.575/0001-67;0
COND. EDIF. THE PARLIAMENT;10.272.850/0001-00;0
COND. QUARTIER LATIN;54.223.441/0001-81;0
COND. MORADA KLABIN;00.847.280/0001-78;0
CONDOMÍNIO EDIFÍCIO DESIGN CAMPO BELO;20.816.338/0001-23;0
COND.EDIF. MIRANTE TROPICAL;02.408.977/0001-78;0
CONDOMÍNIO RESIDENCIAL RAÍZES MORUMBI;23.941.270/0001-00;0
Cerradinho Logistica Ltda;09457708000140;0
Cerradinho Bioenerg. S.A. - 0002-86;08322396000286;0
CONDOMÍNIO VILLAGE PAINEIRAS;03.074.949/0001-24;0
COND.EDIF. TRASTEVERE;54.322.789/0001-26;0
COND. EDIF. SONATTA;13.286.101/0001-12;0
CONDOMINIO EDIFICIO GRIFFE EMPRESARIAL;61.408.076/0001-45;0
Cerradinho Particip. S.A - 0001-11;11196718000111;0
Cerradinho Particip. S.A - 0002-00;11196718000200;0
CONDOMINIO LAVANDISCA;22.346.419/0001-32;0
COND. EDIF. VILAGGIO IMPERIALE;02.632.849/0001-03;0
COND.EDIF. BERRINI LAVRA;00.786.295/0001-73;0
COND.EDIF. PARQUE DAS ACACIAS;54.068.655/0001-20;0
CONDOMINIO LINK OFFICES;25.139.003/0001-31;0
COND. NOVA MOOCA;08.987.317/0001-75;0
COND. EDIF. QUADRIFOGLIO;64.016.074/0001-07;0
COND. EDIF. STELVIO MAZZA;03.327.537/0001-59;0
Condominio Residencial Le Soleil;14.487.188/0001-59;0
COND.EDIF. PIAZZA DI SPAGNA;69.272.631/0001-66;0
COND. RES. OLIMPIA SPECIAL SPACE;18.384.863/0001-75;0
COND.EDIF. PALACIO ESCORIAL;65.518.839/0001-61;0
COND. QUARTIER LATIN;54.223.441/0001-81;0
COND.EDIF. GAR MAJOR QUEDINHO;61.053.575/0001-67;0
COND. EDIF. STAR SYSTEM;67.631.341/0001-36;0
COND. RES. OLIMPIA SPECIAL SPACE;18.384.863/0001-75;0
COND.EDIF. INAJA;02.521.527/0001-97;0
Condomínio Das Brisas;09032447000117;0
COND. EDIF. THE REGENT FLAT SERVICE;57.857.682/0001-70;0
COND. PALMA DE MALLORCA;04.233.922/0001-08;0
CONDOMINIO EDIFICIO ANAPURUS;54.003.470/0001-38;0
CONDOMINIO IBIRAPUERA CENTRAL PARK;54.069.729/0001-43;0
CONDOMINIO QUARTIER CAMPO BELO;28.937.984/0001-50;0
CONDOMINIO. RESERVA ATLANTICA;04.932.830/0001-08;0
CONDOMINIO SUPREMO;14.072.790/0001-25;0
COND. EDIF. VIVIEN TEREZA;54.462.171/0001-61;0
CONDOMINIO RESIDENCIAL VILA HIPICA;10.217.165/0001-73;0
CONJ. RES. SOLAR DA BOA VISTA;57.009.615/0001-04;0
Condomínio Barata Primo;33706811000161;0
COND.EDIF. PARQUE DOS JERIVAS;64.724.156/0001-06;0
COND. EDIF. SIMONE;54.459.292/0001-54;0
CONDOMINIO IBIRAPUERA CENTRAL PARK;54.069.729/0001-43;0
Condomínio Edificio Barão de Araras;54465679000113;0
Cidade Maravilhosa Industria e Comercio de Roupas LTDA;09611669000860;0
COND. RES. OLIMPIA SPECIAL SPACE;18.384.863/0001-75;0
Condomínio Edifício Arquiteto Vilanova Artigas;10.953.300/0001-49;0
COND. LIBER BOSQUE DOS BURITIS;18.328.750/0001-52;0
CONDOMINIO LAVANDISCA;22.346.419/0001-32;0
CONDOMINIO EDIFICIO GUARAVAI;54.198.973/0001-06;0
CONDOMINIO VERONA;10.466.618/0001-03;0
CONDOMÍNIO GREEN PARK;03.470.475/0001-30;0
Condomínio Edifício Residencial Giardino;14.606.753/0001-50;0
CONDOMINIO EDIFICIO RIO JURUA;00523435000110;0
CONJUNTO RESIDENCIAL VILLAGE DI TORINO;01.674.958/0001-20;0
COND. RESID. NATUREZA CLUBE MORUMBI;-;0
CONDOMINIO EDIFICIO FARIA LIMA FINANCIAL CENTER;05778098000126;1
CONDOMÍNIO  MERIDIANI;57.859.795/0001-05;0
COND. VITA SÃO MIGUEL;22.954.210/0001-51;0
CONJUNTO RESIDENCIAL VILLAGE DI TORINO;01.674.958/0001-20;0
CONDOMINIO COLINAS DO SUMARE;01056124000151;0
Condomínio Conjunto Residencial Parque Ibirapuera;54.365.051/0001-46;0
Condomínio Edificio Itaparica;55233845000119;0
CONDOMINIO CLUBLIFE MORUMBI SOLE;17.822.114/0001-10;0
CONDOMINIO STATION OFFICES SAUDE;20.487.655/0001-43;0
Condomínio Montpellier;06115712000132;0
CONDOMINIO EDIFICIO VISAGE;10.545.498/0001-21;0
CONDOMINIO LINK STUDIOS;25.139.003/0001-31;0
Condominio Edificio Monte Haramon;54070206000117;0
Condomínio Edificio Residencial Rafael Sanzio;37305218000164;0
Condomínio Bauhaus;40281016000134;0
CONDOMINIO EDIFICIO GUARAVAI;54.198.973/0001-06;0
Condomínio Residence Milan;36631868000137;0
Condomínio Flamboyant Garden;01351371000180;0
Condomínio Edifício Estoril;02098552000100;0
Condomínio Edifício Jardim d'Abril;56.346.034.0001-97;0
Condomínio Aladim;32365231000195;0
Condomínio Edifício Lindóia;97.332.928/0001-05;0
CONDOMINIO EDIFICIO MATISSE;67.985.580/0001-94;0
Condomínio Solar dos Coqueiros;40276859000142;0
Condomínio Edifício Place Vendome;54.200.894/0001-92;0
CONDOMINIO VERONA;10.466.618/0001-03;0
Cittá América;20247322022540;0
Condomínio Edifício Segundo;57999211000105;0
Condomínio Edifício Itapoa;58.795.634/0001-68;0
Condominio Residencial Refugio Cantagalo ii;12380452000125;0
CONDOMÍNIO MUSTIQUE;07.570.184/0001-74;0
CONDOMÍNIO HYDE PARK;27194202000178;0
COND.EDIF. PALACIO ESCORIAL;65.518.839/0001-61;0
Condomínio Uirapuru;06301604000154;0
CONSTANTINA EMPREENDIMENTOS IMOBILIARIOS LTDA - FILIAL;27467586000236;0
CONDOMÍNIO GREEN PARK;03.470.475/0001-30;0
CONDOMÍNIO EDIFÍCIO DESIGN CAMPO BELO;20.816.338/0001-23;0
Cotax;38184154000153;0
Condomínio Via Alto Mapendi Reserva;24107966000190;0
Condomínio Barão de Jaceguai;02137466000169;0
Condomínio Poliana;66865387000157;0
Condomínio Edifício Montecatin;00746755000130;0
Condomínio Edifício JRS;10.424.300/0001-51;0
Condomínio Barra de Itaúna; 05486968000193;0
Condomínio Sunrise Residence Service;07404555000148;0
Condomínio Edifício São Silvestre;67.634.154/0001-06;0
D030-ANANINDEUA;51427102003063;0
Condomínio Edifício Dom Pedro;67.142.224/0001-09;0
Condomínio Edifício Irlanda;54.490.099/0001-86;0
Condomínio Edificio Parque Villa Lobos;05220498000111;0
Condomínio Edifico Anajá;61062394000105;0
D729-JABOATAO DOS GUARARAPES;;0
D042-VÁRZEA GRANDE;51427102005279;0
Condomínio Cardoso;07025815000174;0
Condomínio Edifício Modulor Tangram;65.085.797/0001-12;0
Condomínio Perobas IV ;02908537000180;0
Condomínio Inhangá;02731639000172;0
D015-GOIÂNIA;51427102001524;0
Condomínio Edifício Villagio Di Firenze;38.893.129/0001-49;0
Condomínio Alegrete;00069292000119;0
CONDOMÍNIO RESIDENCIAL RAÍZES MORUMBI;23.941.270/0001-00;0
EDIF. PERSONA PARAISO;12.102.970/0001-87;0
Condomínio Residencial Tulipas ;26220275000124;0
Condomínio Edifício Con Il Cuore;27.581.429/0001-76;0
Downtown - Bloco 14 (Sala 303 e 304);20247322022892;0
Condomínio Edifício Santorini;24464171000130;0
D064-CONTAGEM;51427102006402;0
Condomínio Vila Bela;30871244000100;0
Condomínio Les Palais;14711455000120;0
CONDOMINIO EDIFICIO ANAPURUS;54.003.470/0001-38;0
D156-CARAPICUÍBA;51427102015665;0
Condomínio Pax;00811482000160;0
Condomínio Premiere;18486470000172;0
D003-RIO DE JANEIRO;51427102000390;0
EDIFÍCIO VILLA BORGHESE;00.988.375/0001-01;0
Condomínio Edifício Tom Jobim;04.891.862/0001-02;0
EDIFICIO RESIDENCIAL UPTOWN AROUCHE;22.711.033/0001-82;0
EDIFICIOS LOUISVILLE E NASHVILLE;02.973.373/0001-74;0
DUCOCO ALIMENTOS S/A - ESPIRITO SANTO - EMPRESA 56;63460299000187;0
D112-SÃO JOSÉ;51427102011244;0
Condomínio Edifício Real;58926122000193;0
DUCOCO PRODUTOS ALIMENTICIOS S/A - CEARA - EMPRESA 02;09426032000128;0
Condominio Perobas IV;02908537000180;0
D032-MANAUS;51427102003225;0
Condomínio Maripá; 01749673000101;0
D275 - VÁRZEA GRANDE;51427102027590;0
D014-FORTALEZA;51427102000471;0
Condomínio Edifício Renata;59.936.104/0001-55;0
Condomínio Studios Vila Santa Catarina;18.905.404.0001-90;0
Condomínio Solar Uberaba;39083191000138;0
EL CAMINO FOODS S.A.;10291637000723;0
EDIFÍCIO  JANETTE;54.219.951/0001-85;0
EDIFÍCIO VILLA BORGHESE;00.988.375/0001-01;0
Condomínio Edifício Real Parque V;24.585.179/0001-54;0
EL CAMINO FOODS S.A.;10291637002424;0
Condomínio Residencial Ilha de Boaçava;62.024.997/0001-77;0
Condomínio Sundance;07554010000118;0
D381-PORTO VELHO;51427102038100;0
D779-GOIANIA;;0
EL CAMINO FOODS S.A.;10291637002696;0
D431-RECIFE;51427102043103;0
D016-BRASÍLIA;51427102001605;0
Fornecedor 2;11563878000151;0
EDIFICIOS LOUISVILLE E NASHVILLE;02.973.373/0001-74;0
Condomínio Residencial Priori Juquiá;29641864000174;0
D020-CAMPO GRANDE;51427102002091;0
D768-BRASILIA;;0
Condomínio Jamele;21347184000130;0
EL CAMINO FOODS S.A.;10291637002181;0
EL CAMINO FOODS S.A.;10291637000219;0
DISTRIBUIDORA MEDEIROS LTDA;08474030000141;0
Hydronorth S/A;01618551000348;0
DELGA INDÚSTRIA E COMÉRCIO S.A.;61532198000149;0
DIST.DE BANANAS TOCANTINS ;23254706000185;0
EL CAMINO FOODS S.A.;10291637002262;0
EL CAMINO FOODS S.A.;10291637002505;0
D111-JABOATÃO DOS GUARARAPES;51427102011163;0
EL CAMINO FOODS S.A.;10291637000995;0
EL CAMINO FOODS S.A.;10291637000804;0
D082-TABOÃO DA SERRA;51427102008294;0
EL CAMINO FOODS S.A.;10291637001533;0
EL CAMINO FOODS S.A.;10291637001290;0
D009-SALVADOR;51427102000986;0
EDIFÍCIO  WIDE VIEW;15.542.059/0001-89;0
INSTITUTO ECOAR PARA A CIDADANIA;69108124000191;0
K013-TB-LAB REP K7S TBF CAMPIN;51427102001362;0
D271-GRAVATAÍ;51427102027167;0
EMPORIO VILA MADALENA EIRELI;43108885000150;0
EL CAMINO FOODS S.A.;10291637002343;0
K004-TB-LAB REP K7S TBF S MATE;51427102000471;0
GAFISA SQUARE SANTO AMARO F1 L1 - EASY;25.982.838/0001-59;0
D733-MANAUS;;0
IRMAOS BIRCHAL CENTRO AUTOMOTIVO LTDA;08599266000104;0
EL CAMINO FOODS S.A.;10291637001967;0
Condomínio Guarujá;00058815000121;0
DIRECIONAL ENGENHARIA S/A - MATRIZ;16614075000100;0
EL CAMINO FOODS S.A.;10291637001703;0
Fogás - Nova Cidade;4563672002029;0
Condomínio Ritz;01405043000110;0
D038-SÃO JOSÉ DOS PINHAIS;51427102003810;0
Fogás - Japiim;04563672002100;0
Condomínio Palazzo do Maracanã;21241656000176;0
K002-TB-LAB REP K7S TBF CURITI;51427102000200;0
EDIF. VICTORIA TOWER RESIDENCIAL;73.518.490/0001-96;0
EL CAMINO FOODS S.A.;10291637002939;0
EL CAMINO FOODS S.A.;10291637002009;0
Downtown - Bloco 15;20247322022620;0
Edifício Upside View Residence;36.116.239/0001-79;0
FM IMPRESSOS PERSONALIZADOS LTDA.;13555994000154;0
Fornecedor 1;58533667000130;0
EDIF. HLI - 120;10.633.042/0001-13;0
EDIF. VILLAGIO ARANDU;09.076.849/0001-13;0
EL CAMINO FOODS S.A.;10291637000642;0
K381-TB-LAB REP K7 TBF PRT VEL;51427102038100;0
KADUA BAR E PARTICIPACOES EIRELI;23020248000110;0
João Corona Corretora de Seguros Eireli;33333671000123;0
EDIF. MAISON SAINT VALERY;00.520.111/0001-29;0
Hugo Franco de Campos Apoio Administrativo;35576108000101;0
D296-CDR MACAPÁ;51427102029615;0
EDIFICIO ITAIM OFFICE BUILDING;07.093.326/0001-50;0
EDIFICIO MAISON CHAMPS-ELISEES;54.064.787/0001-84;0
K191-TB-LAB REP K7S TBF PETROL;51427102019148;0
HCJ32 INDUSTRIA GRAFICA EIRELI;01775456000196;0
EL CAMINO FOODS S.A.;10291637002939;0
Fogás - Santarém;04563672000590;0
EL CAMINO FOODS S.A.;10291637000480;0
K088-TB-LAB REP K7S TBF C.GRAN;51427102008880;0
P296-MACAPÁ;51427102029615;0
ODONTOPREV S.A.;58119199000151;0
EL CAMINO FOODS S.A.;10291637001100;0
K011-TB-LAB REP K7S TBF RECIFE;51427102001109;0
N.L. SILVA NILMARIZ IMPLEMENTOS PARA GRUPOS GERADORES - EIRELI ;02120931000159;0
K047-TB-LAB REP K7S TBF BAURU;51427102004701;0
P017-SÃO JOSÉ DOS CAMPOS;51427102001796;0
K010-TB-LAB REP K7S TBF SANTOS;51427102001010;0
Focus Plan Engenharia, Planejamento, Logística e Construção Ltda.;08.342.015/0001-40;0
OLIMPIC CONDOMINIUM RESORT;10.407.827/0001-78;0
EL CAMINO FOODS S.A.;10291637002858;0
EDIFICIO RESIDENCIAL UPTOWN AROUCHE;22.711.033/0001-82;0
MOBCOM TECNOLOGIA LTDA;28453048000255;0
EL CAMINO FOODS S.A.;10291637001371;0
EL CAMINO FOODS S.A.;10291637000308;0
FUNDAÇÃO CESP;62465117000106;0
K027-TB-LAB REP K7S TBF NATAL;51427102002768;0
EDIFÍCIO MAISON DE VERSAILLES;56.710.221/0001-08;0
ITAGIBA & FILHO PRODUTOS NATURAIS LTDA;28860274000170;0
DECORLAZER DECORACAO E BRINQUEDOS LTDA - EPP;11878151000163;0
PEDRA AGROINDUSTRIAL S/A;71304687000105;0
PEDRA AGROINDUSTRIAL S/A;71304687001845;0
KEEPEE SERVICOS DE MANUTENCAO LTDA;18973806000121;0
K160-TB-LAB REP K7S TBF SERRA;51427102016041;0
Hydronorth S/A;01618551000429;0
K051-TB-LAB REP K7 TBF P.PRUDE;51427102005198;0
Fogás - Macapá;4563672001804;0
K086-TB-LAB REP K7S TBF V.CONQ;51427102008618;0
Fogás - Porto Velho;04563672000409;0
JAGUAFRANGOS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;85090033000122;0
F2SB MARKETING LTDA;13562187000169;0
K068-CENTRO DESATIVADO;51427102006836;0
GALBA VIEIRA CORDEIRO JUNIOR ;94458278649;0
HEATING COOLING;44124899000120;0
Fogás - Cuiabá;04563672001995;0
Empresa Brasileira de Comunicação Produção Ltda;09160240000128;0
Fogás - Rio Branco;04563672000751;0
HELBOR HOME FLEX MOEMA;05.878.263/0001-11;0
RESIDENCIAL TOWN HOUSE MORUMBY;09.400.497/0001-00;0
RESIDENCIAL CONTEMPLARE;16.628.064/0001-71;0
Máquinas Agrícolas Jacto S.A.;55064562000190;0
SCIENCE TRADUCOES LTDA;12889195000151;0
FABRICA DE BARES PARTICIPACOES LTDA;20297400000118;0
K067-TB-LAB REP K7S TBF TERESI;51427102006755;0
TB-ACAILANDIA;51427102071492;0
GRAND CLUB COND JARDIM BOTANICO;21.196.764/0001-74;0
Hyster-Yale Brasil Empilhadeiras Ltda;57014896000185;0
Edificio Silvia;00263256000191;0
SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC MINAS;03447242000116;0
IDEA CONDOMINIUM;28.737.795/0001-34;0
Fogás - Boa Vista;04563672001219;0
TB-ABREU E LIMA;51427102017366;0
Hydronorth S/A;01618551000267;0
K296-TB-LAB REP K7S TBF MACAPA;51427102029615;0
MOOCA CONDOMINIUM CLUB;12.360.173/0001-08;0
K017-TB-LAB REP K7S TBF SJCAMP;51427102001796;0
SOLARES DE CIDADE JARDIM - VILA AMÉRICA;07.301.163/0001-53;0
TB-AGUAS DE LINDOIA;51427102027914;0
TB-ALAGOINHAS;51427102032322;0
Fornecedor 3;65378282000100;0
K003-TB-LAB REP K7S TBF RJ;51427102000390;0
K020-TB-LAB REP K7S TBF CPGRAN;51427102002091;0
P010-SANTOS;51427102001010;0
JY DIAS GUIMARAES CONSULTORIA LTDA.;18618294000185;0
TB-ARACARIGUAMA;51427102055020;0
K006-TB-LAB REP K7S TBF P.ALEG;51427102000633;0
TB-ALVORADA;51427102015908;0
N A PEÇANHA MERCADO ONLINE;31656026000116;0
L004-TB-LAB REP K7S TBF CONG;09262608000401;0
K009-TB-LAB REP K7S TBF SSA;51427102000986;0
EXTINSANT EQUIPAMENTOS DE COMBATE A INCENDIO LTDA;55861942000156;0
K037-TB-LAB REP K7S TBF ARACAJ;51427102003730;0
TB-APARECIDA DE GOIANIA;51427102012720;0
K023-TB-LAB REP K7S TBF LONDRI;51427102002334;0
NOVUS DO BRASIL COMERCIO E IMPORTACAO LTDA;66659863000183;0
M004-TB-LAB REP K7S TBF LIMÃO;09262608000169;0
TB-ARARANGUA;51427102075994;0
MALHARIA ANSELMI LTDA;90005307000178;0
K026-TB-LAB REP K7S TBF MACEIO;51427102002687;0
NWT - NEW WORKER TOWER;21113760000185;0
P636-SÃO PAULO;51427102063635;0
TB-AGUAS LINDAS DE GOIAS;51427102033566;0
K223-TB-LAB REP K7S TBF ITABUN;;0
Plant CN01;;0
OLIMPIC CONDOMINIUM RESORT;10.407.827/0001-78;0
Senai Pirituba;03774819000102;1
M. Abuhab Participações;03204024000150;0
TB-AQUIDAUANA;51427102066731;0
SEDE - Instituição Adventista Sul Brasileira de Educação ;76726884012053;0
TB-ARACATI;51427102066901;0
SANTO EXPEDITO COMERCIO DE ALIMENTOS LTDA;39829732000124;0
TB-ARAGUAINA;51427102039505;0
TB-APARECIDA;51427102011406;0
Ramos;20247322023783;0
PRINCIPAL COMERCIO E INDUSTRIA DE CAFE LTDA ;30740773000175;0
RESIDENCIAL CONTEMPLARE;16.628.064/0001-71;0
TB-BARBACENA;51427102036158;0
TB-APUCARANA;51427102053591;0
TB-BARRA DOS GARÇAS;51427102066227;0
TB-BARRA MANSA;51427102009851;0
Neomille S.A.;47062997000178;0
TB-ARAPIRACA;51427102041747;0
TB-BASE OPERACIONAL CBW;51427102007808;0
P052-EMBU DAS ARTES;51427102005279;0
MOBCOM TECNOLOGIA LTDA;28453048000174;0
TB-ARROIO DO SAL;51427102075560;0
TB-ARARAS;51427102030621;0
TB-AMPARO;51427102045068;0
TB-BASE OPERACIONAL BAU;51427102004701;0
Secretaria de Estado da Saúde - COMP;08597121000174;0
TB-AVARE;51427102064879;0
K438-TB-LAB REP K7S TBF PARNAI;51427102043871;0
TB-BALSAS;51427102072383;0
PRUMO PARTICIPACOES LTDA;31562935000195;0
TB-BIGUAÇU;51427102057660;0
K031-TB-LAB REP K7S TBF SOROCA;51427102003144;0
TB-ALUMINIO;51427102065506;0
Residencial Grevilia;05.914.485/0001-42;0
SOLUCON EIRELI ;00484974000198;0
POSITIVE BRANDS INDUSTRIA E COMERCIO DE ALIMENTOS SAUDAVEIS S.A.;33795393000126;0
Suyane Maselle Abreu e Coelho EIRELI;20299613000189;0
PagSeguro Internet S/A;08561701000101;0
SUMAYA GISELLE A. COELLHO ;06090892000145;0
TB-ATIBAIA;51427102013964;0
TB-BARRA DE SAO MIGUEL;51427102048679;0
TB-BARRETOS;51427102022793;0
TB-BRUSQUE;51427102059794;0
TB-BOITUVA;51427102060962;0
TB-CABREUVA;51427102033132;0
TB-BEBERIBE;51427102057155;0
TB-BOM JESUS DOS PERDOES;51427102057317;0
TB-BELFORD ROXO;51427102013611;0
TB-BENEVIDES;51427102058046;0
TB-BERTIOGA;51427102014340;0
Saquarema;9344031000991;0
TB-ANAPOLIS;51427102016394;0
TB-BARRA DO PIRAI;51427102021630;0
TB-ANCHIETA;51427102038363;0
TB-AMERICANA;51427102007212;0
TB-CACHOEIRAS DE MACACU;51427102031199;0
TB-ARROIO DO MEIO;51427102076370;0
TB-BARCARENA;51427102067118;0
TB-ARAXA;51427102034295;0
TB-BAURU;51427102004701;0
TB-CACHOEIRINHA;51427102015070;0
