empresa;documento
ALLIED TECNOLOGIA S.A.;20247322021578
ALLIED TECNOLOGIA S.A.;20247322021730
ALLIED TECNOLOGIA S.A.;20247322021900
ALLIED TECNOLOGIA S.A.;20247322024240
ALLIED TECNOLOGIA S.A.;20247322024160
ALLIED TECNOLOGIA S.A.;20247322024321
ALLIED TECNOLOGIA S.A.;20247322024593
ALLIED TECNOLOGIA S.A.;20247322024402
ALLIED TECNOLOGIA S.A.;20247322023945
ALLIED TECNOLOGIA S.A.;20247322024089
ALLIED TECNOLOGIA S.A.;20247322021659
ALLIED TECNOLOGIA S.A.;20247322000228
ALLIED TECNOLOGIA S.A.   ;20247322021497
ALLIED TECNOLOGIA S.A. ;20247322021810
ALLIED TECNOLOGIA S.A.   ;20247322022469
ALLIED TECNOLOGIA SA;20247322005106
ALLIED TECNOLOGIA SA;20247322005106
ALLIEDTECNOLOGIA S.A.;20247322018437
ALLIEDS/A.;4416818004804
ARB SOLUCAO INDUSTRIAL;23365055000109
ASA BRANCA V ENERGIAS RENOVAVEIS S.A;11681458000250
ASA BRANCA IV ENERGIAS RENOVAVEIS S.A;11681456000261
ASA BRANCA VI ENERGIAS RENOVAVEIS S.A;11694617000251
ASA BRANCA VII ENERGIAS RENOVAVEIS S.A;11694618000204
ASA BRANCA VIII ENERGIAS RENOVAVEIS S.A.;11694621000210
ASSOC DO EDIFICIO  MAJOR QUEDINHO;14.784.017/0001-91
CAFÉ TRÊS CORAÇÕES S/A;17467515003548
Applar Tecnologia Ltda.;30608727000117
CAFÉ TRÊS CORAÇÕES S/A;17467515002738
CAMPO LIMPO TAMPAS E RESINAS PLASTICAS LTDA;19890579000133
CAFÉ TRÊS CORAÇÕES S/A;17467515004510
CAFÉ TRÊS CORAÇÕES S/A;17467515002819
B.blend Máquinas e Bebidas S.A - Itaim;22172203000106
CAFÉ TRÊS CORAÇÕES S/A;17467515004609
CAFÉ TRÊS CORAÇÕES S/A;17467515002908
B.blend Máquinas e Bebidas S.A - Lapa;22172203000440
CAIEIRAS EMPREENDIMENTOS IMOBILIARIOS LTDA - FILIAL;26738688000367
CAFÉ TRÊS CORAÇÕES S/A;17467515003114
B.blend Máquinas e Bebidas S.A - Sete Lagoas;22172203000289
CAMPMOLAS INDUSTRIA E COMÉRCIO LTDA;09044296000117
CAFÉ TRÊS CORAÇÕES S/A;17467515003386
B.blend máquinas e bebidas S.A;22172203000521
CAMPO LIMPO - RECICLAGEM E TRANSFORMACAO DE PLASTICOS S.A.;09456668000201
B.blend máquinas e bebidas S.A;22172203000360
B2W COMPANHIA DIGITAL;00776574000660
CAFÉ TRÊS CORAÇÕES S/A;17467515004277
CAFÉ TRÊS CORAÇÕES S/A;17467515004439
CAFÉ TRÊS CORAÇÕES S/A;17467515003700
CAFÉ TRÊS CORAÇÕES S/A;17467515004358
BERTOLUCCI E CIA LTDA – ME;06923561000220
Bar e restaurante metrópole ltda;51889608000150
BOULEVARD DO PARQUE;15.243.726/0001-22
Bardasse Fábrica de Bares Participações LTDA;20297400000207
CAFETERIAS TRES CORACOES LTDA ;05560126000134
CAAB - Colégio Adventista Alto Boqueirão - EIEFM;76726884005510
CAPGUA - Colégio Adventista Paranaguá - EIEF;76726884002686
CAFETERIAS TRES CORACOES LTDA ;05560126000649
CAC - Colégio Adventista Centenário - EIEFM;76726884006754
CAFETERIAS TRES CORACOES LTDA ;05560126000720
CAFÉ TRÊS CORAÇÕES S/A;17467515004439
CAPI - Colégio Adventista Pinhais - EIEFM;76726884012800
CASJP - Colégio Adventista São José dos Pinhais - EIEFM;76726884005863
CHÁCARA DAS FLORES - EDIF.  FLAMBOYANT;53.835.344/0001-87
CAUV - Colégio Adventista União da Vitória - EIEF;76726884003496
CAFETERIAS TRES CORACOES LTDA ;05560126000568
CAFÉ TRÊS CORAÇÕES S/A;17467515000101
CAFRG - Colégio Adventista Fazenda Rio Grande ;76726884012991
CCABR - Colégio Curitibano Adventista do Bom Retiro - EIEFMP;76726884005359
CAFÉ TRÊS CORAÇÕES S/A;17467515001685
CAFÉ TRÊS CORAÇÕES S/A;17467515002657
CHÁCARA DAS FLORES - EDIF. BOUGAINVILLE;53.835.344/0001-87
CHÁCARA DAS FLORES - EDIF. CAREME;53.835.344/0001-87
COMÉRCIO DE MOLAS OESTE PAULISTA LTDA;07444633000138
CONCURSOS PSI EMPREENDIMENTOS EDITORIAIS LTDA;17975878000145
COMÉRCIO DE MOLAS LIMEIRA LTDA;65820557000114
COMÉRCIO DE MOLAS CAMPO GRANDE LTDA.;10673377000165
COND ED VICTOR BRECHERET;54.934.765/0001-28
COND RESID.MAIS ESTILO & DESIGN MORUMBI;19.436.901/0001-59
CLASSIC CONDOMINIUM CLUB;07.961.602/0001-54
COMERCIAL AUTOMOTIVA S.A.;45987005000198
COND. CHARMANT VILA NOVA;05.545.830/0001-18
COND. COMPLEXO LEOPOLDO - SUBCOND ZENITH;20.195.261/0001-11
COND. ALAMEDA COTEGIPE;20.309.349/0001-17
COND. CAMINO TULIPA;20.817.543/0001-03
COND. DOUBLE OFFICE SANTANA;22.276.743/0001-21
COND. ED. ON THE PARK;09.290.465/0001-07
COND. EDIF.  ANDREA;54.072.558/0001-01
COND. EDIF.  MANSAO DE RACINE;55.399.752/0001-69
COND. EDIF.  ADOLPHO LUTZ;54.225.123/0001-50
COND. EDIF. AIMBERE;-
COND. EDIF. AIROSA;-
COND. EDIF. AJURICABA;54.280.987/0001-74
COND. EDIF. AMPLAVISÃO;67.184.556/0001-56
COND. EDIF. AMPLAVISÃO - PENDÊNCIAS;67.184.556/0001-56
COND. EDIF. ANA MARIA;54.222.849/0001-39
COND. EDIF. ANA PAULA;54.457.809/0001-76
COND. EDIF. ARARUAMA;96.478.102/0001-96
COND. EDIF. ARARUAMA;96.478.102/0001-96
COND. EDIF. BAHAMAS;54.964.002/0001-20
COND. EDIF. BELAS ARTES;61.572.061/0001-18
COND. EDIF. BELVEDER SIENA E LUCCA;62.446.521/0001-24
COND. EDIF. BLUE STAR;66.859.307/0001-50
COND. EDIF. BROOKLIN SELF PROJECT;05.461.222/0001-25
COND. EDIF. BROOKLIN TO LIVE;13.513.443/0001-28
COND. EDIF. BUTANTA;71.928.402/0001-07
COND. EDIF. CAMPO BELO WORK CENTER;01.641.269/0001-10
COND. EDIF. CAMPOBELLO GARDEN HOUSE;66.056.474/0001-63
COND. EDIF. CAMPOBELLO OFFICE CENTER;01.126.230/0001-64
COND. EDIF. CAP  LES ARCS;53.999.363/0001-49
COND. EDIF. CARMO DO RIO VERDE;01.845.576/0001-12
COND. EDIF. DOMANI III;07.047.492/0001-10
COND. EDIF. CONDE DE OXFORD;71.738.512/0001-06
COND. EDIF. CARNAUBEIRAS;02.032.002/0001-98
COND. EDIF. CONSELHEIRO LAFAYETTE;53.823.936/0001-89
COND. EDIF. CASTEL DE VERONA;56.275.217/0001-69
COND. EDIF. CORTINA D AMPEZZO;59.396.630/0001-70
COND. EDIF. DIAMOND PLACE;56.098.783/0001-42
COND. EDIF. CELLINI;54.574.157/0001-50
COND. EDIF. CHATEAU DE BLOIS;07.855.100/0001-49
COND. EDIF. CHÁCARA DAS FLORES;53.835.344/0001-87
COND. EDIF. CISNE BRANCO;60.258.050/0001-03
COND. EDIF. CLERMONT FERRAND;01.705.371/0001-31
COND. EDIF. EDEN ROC;02.444.654/0001-30
COND. EDIF. ELIANE;54.223.433/0001-35
COND. EDIF. E GALERIAS SÃO BENTO;53.823.555/0001-08
COND. EDIF. EQUIPAGE;53.831.996/0001-43
COND. EDIF. ESPACO COR;05.095.594/0001-85
COND. EDIF. GARCIA D'AVILA;54.203.724/0001-61
COND. EDIF. FIRST PLACE;65.030.413/0001-64
COND. EDIF. FRAGATA;54.069.240/0001-71
COND. EDIF. HIGIENOPOLIS BUSINESS CENTER;01.066.069/0001-80
COND. EDIF. GUARACIARA;56.567.431/0001-99
COND. EDIF. GUATAN;74.077.298/0001-74
COND. EDIF. GIARDINO DI CAPRI;55.797.898/0001-62
COND. EDIF. ILHA DE IF;04.181.551/0001-50
COND. EDIF. GIORGIO MORANDI;55.293.492/0001-42
COND. EDIF. ILHA DE MALTA;60.531.332/0001-24
COND. EDIF. ILHA DE RHODES;60.264.330/0001-16
COND. EDIF. ILHA MAUI;05.501.844/0001-30
COND. EDIF. GRADINI;03.040.206/0001-33
COND. EDIF. IMMAGINATO CASA VERDE;24.658.971/0001-91
COND. EDIF. IMMAGINATO CASA VERDE;24.658.971/0001-91
COND. EDIF. ITABORAÍ;61.062.121/0001-52
COND. EDIF. ITABORAÍ;61.062.121/0001-52
COND. EDIF. JURUÁ;17.714.094/0001-63
COND. EDIF. KEY BISCAYNE;00.247.399/0001-00
COND. EDIF. JURUÁ;17.714.094/0001-63
COND. EDIF. ITAMARACA;62.026.273/0001-62
COND. EDIF. KRISTAL PARK;00.782.584/0001-02
COND. EDIF. ITAMARACA;62.026.273/0001-62
COND. EDIF. KEY BISCAYNE;00.247.399/0001-00
COND. EDIF. LE BEAU CHAMP;03.111.186/0001-44
COND. EDIF. ITAPEVA MEDICAL CENTER;03.813.829/0001-00
COND. EDIF. JARDIM DAS ORQUIDEAS;55.383.996/0001-53
COND. EDIF. JARDIM DAS ORQUIDEAS;55.383.996/0001-53
COND. EDIF. JARDINS DE BROOKLIN;55.382.386/0001-35
COND. EDIF. ITAUBA;00.314.878/0001-00
COND. EDIF. LE BEAU CHAMP;03.111.186/0001-44
COND. EDIF. LEBLON;62.578.000/0001-20
COND. EDIF. LEBLON;62.578.000/0001-20
COND. EDIF. LONDONDERRY; 00.156.982/0001-05
COND. EDIF. LONDONDERRY; 00.156.982/0001-05
COND. EDIF. LONG CHAMPS;54.224.241/0001-43
COND. EDIF. LONG CHAMPS;54.224.241/0001-43
COND. EDIF. LUA DE SETIN;62.580.733/0001-08
COND. EDIF. LUA DE SETIN;62.580.733/0001-08
COND. EDIF. LUCIANA;54.030.986/0001-71
COND. EDIF. MAISON LIEGE;67.008.557/0001-40
COND. EDIF. LUCIANA;54.030.986/0001-71
COND. EDIF. MAISON COTE D'AZUR;53.827.515/0001-26
COND. EDIF. MAISON DE LILLE - OBRAS;54.072.368/0001-94
COND. EDIF. MONTE OLIMPO;00.409.791/0001-08
COND. EDIF. MAISON COTE D'AZUR;53.827.515/0001-26
COND. EDIF. MAISON DE LILLE - OBRAS;54.072.368/0001-94
COND. EDIF. MAISON MONT SERRAT;54.209.226/0001-26
COND. EDIF. MAISON DE LILLE;54.072.368/0001-94
COND. EDIF. MAISON GUEDALA;01.492.290/0001-09
COND. EDIF. MAISON DE LILLE;54.072.368/0001-94
COND. EDIF. MAISON RAVEL;62.026.620/0001-57
COND. EDIF. NATALIE;55.382.329/0001-56
COND. EDIF. MAISON LIEGE;67.008.557/0001-40
COND. EDIF. MANSAO CAVIUNA;67.988.287/0001-80
COND. EDIF. MORUMBI FREE LIFE;64.035.058/0001-53
COND. EDIF. MY JOY;26.461.080/0001-76
COND. EDIF. MANSAO LA FONTAINE;59.480.905/0001-59
COND. EDIF. NEW CLASSIC BUSINESS CENTER;00.615.429/0001-93
COND. EDIF. OFFICE BRIGADEIRO;52.518.693/0001-02
COND. EDIF. NEW ORLEANS;54.062.302/0001-13
COND. EDIF. ORIGINALE;15.089.301/0001-00
COND. EDIF. PAÇO DE COIMBRA;54.752.308/0001-12
COND. EDIF. ORNATO MOEMA;11.878.372/0001-31
COND. EDIF. PAJUÇARA;57.861.502/0001-24
COND. EDIF. PAÇO DE TOLEDO;38.885.224/0001-09
COND. EDIF. PALAIS ROYAL;67.181.842/0001-68
COND. EDIF. PEROLA;71.731.053/0001-20
COND. EDIF. PIAZZA FLORENCA;02.163.891/0001-22
COND. EDIF. PAULISTA SUL;04.974.653/0001-22
COND. EDIF. PALAZZO ISOLA D'ORO;56.272.370/0001-32
COND. EDIF. PAÇO DA MATTA;54.199.708/0001-42
COND. EDIF. PANORAMA;55.949.291/0001-50
COND. EDIF. PORTOFINO;68.489.707/0001-47
COND. EDIF. PORTO CERVO;06.242.500/0001-16
COND. EDIF. PLAZA WORK CENTER;00.770.142/0001-38
COND. EDIF. PORTAL MARAJOARA;03.729.528/0001-94
COND. EDIF. PORT CHESTER;55.951.388/0001-06
COND. EDIF. PREDILETTO;10.322.018/0001-63
COND. EDIF. PRIMAVERA MORUMBI;28.649.123/0001-77
COND. EDIF. PRINCE OF EDINBURGH;01.278.413/0001-03
COND. EDIF. QUADRIFOGLIO;64.016.074/0001-07
COND. EDIF. RAINHA ELIZABETH;08.018.559/0001-50
COND. EDIF. RENATA;59.936.104/0001-55
COND. EDIF. ROSENGARTEN;03.787.303/0001-94
COND. EDIF. RESIDENCIAL GARDEN TOWER;02.842.178/0001-05
COND. EDIF. SAINT TROPEZ;06.113.442/0001-20
COND. EDIF. ROYAL MORUMBI;60.536.083/0001-60
COND. EDIF. SAINT GERMAIN;00.929.205/0001-56
COND. EDIF. RIO BRANCO;53.832.689/0001-87
COND. EDIF. SAMAMBAIA;59.485.953/0001-30
COND. EDIF. SAN FRANCISCO;58.005.372/0001-90
COND. EDIF. SAO JOAO;54.641.725/0001-98
COND. EDIF. SAO JUDAS PARK;02.446.969/0001-16
COND. EDIF. SILVER TOWER;03.198.040/0001-88
COND. EDIF. SOLAR DOS ARRUDAS;53.828.794/0001-42
COND. EDIF. SIMONE;54.459.292/0001-54
COND. EDIF. SONATTA;13.286.101/0001-12
COND. EDIF. UP CONCEPT DESIGN OFFICES;26.780.230/0001-04
COND. EDIF. SPAZIO ADATTO RESIDENZA;05.470.541/0001-05
COND. EDIF. STAR SYSTEM;67.631.341/0001-36
COND. EDIF. UP LIFE SÃO PAULO;26.353.051/0001-90
COND. EDIF. VILA ADRIANO/SAVOY;58.105.263/0001-45
COND. EDIF. STELVIO MAZZA;03.327.537/0001-59
COND. EDIF. VILA D´ESTE;56.319.890/0001-53
COND. EDIF. THE GABLES;00.240.953/0001-27
COND. EDIF. VILAGGIO IMPERIALE;02.632.849/0001-03
COND. EDIF. TWIN TOWERS THE DUPLEX;03.226.759/0001-85
COND. EDIF. THE PARLIAMENT;10.272.850/0001-00
COND. EDIF. UNIVERSUM;54.198.577/0001-89
COND. EDIF. THE REGENT FLAT SERVICE;57.857.682/0001-70
COND. EDIF. WORK CENTER 5;04.459.604/0001-51
COND. EDIF. WINTER PARK;03.135.904/0001-12
COND. EDIF. VILLA BRUNO GIORGI;00.420.592/0001-09
COND. EDIF. VISCONDE DE WINDSOR;54.218.672/0001-05
COND. EDIF. VIVIEN TEREZA;54.462.171/0001-61
COND. EDIF. WORK CENTER SAO PAULO;03.555.535/0001-17
COND. EDIF.CONJ. COM. PERDIZES TOWER;03.487.315/0001-01
COND. EDIFICIO VIDA VIVA PARQUE SANTANA;13.172.018/0001-12
COND. EDIFÍCIOS OURO PRETO E MARIANA;64.030.919/0001-00
COND. LE QUARTIER MOEMA;07.286.143/0001-50
COND. LIBER BOSQUE DOS JEQUITIBAS;18.310.568/0001-74
COND. LIBER BOSQUE DOS BURITIS;18.328.750/0001-52
COND. MARQUISE IBIRAPUERA;19.128.140/0001-78
COND. MORADA KLABIN;00.847.280/0001-78
COND. MY SPACE;27.159.978/0001-57
COND. ORVALHO GRANJA VIANA;11.979.466/0001-05
COND. PALMA DE MALLORCA;04.233.922/0001-08
COND. ORVALHO GRANJA VIANA;11.979.466/0001-05
COND. NOVA MOOCA;08.987.317/0001-75
COND. PALMA DE MALLORCA;04.233.922/0001-08
COND. QUARTIER LATIN;54.223.441/0001-81
COND. QUARTIER LATIN;54.223.441/0001-81
COND. RES. OLIMPIA SPECIAL SPACE;18.384.863/0001-75
COND. RES.  PALMA DE MALLORCA;03.091.893/0001-16
COND. RES. OLIMPIA SPECIAL SPACE;18.384.863/0001-75
COND. RES. OLIMPIA SPECIAL SPACE;18.384.863/0001-75
COND. RES. OLIMPIA SPECIAL SPACE;18.384.863/0001-75
COND. RESID. NATUREZA CLUBE MORUMBI;-
COND. RESIDENCIAL EVOLVE MORUMBI;21.600.326/0001-20
COND. TORRES DO IBIRAPUERA;68.483.650/0001-79
COND. VILA BOUGANVILLE;04.264.907/0001-19
COND. VILA BOUGANVILLE;04.264.907/0001-19
COND. VILA INGLESA;03.963.107/0001-23
COND. VILA RESID. GIARDINO DI MILANO;01.983.293/0001-37
COND. VITA SÃO MIGUEL;22.954.210/0001-51
COND.EDIF. BERRINI LAVRA;00.786.295/0001-73
COND. VITA SÃO MIGUEL;22.954.210/0001-51
COND.EDIF. EAST BROOKLIN;68.481.688/0001-02
COND.EDIF. GAR MAJOR QUEDINHO;61.053.575/0001-67
COND.EDIF. GAR MAJOR QUEDINHO;61.053.575/0001-67
COND.EDIF. IMPERIAL TOWER;59.485.797/0001-07
COND.EDIF. MAISON PLATINE;69.293.025/0001-27
COND.EDIF. MIRANTE TROPICAL;02.408.977/0001-78
COND.EDIF. INAJA;02.521.527/0001-97
COND.EDIF. OLD ENGLAND;04.141.716/0001-60
COND.EDIF. PALACIO ESCORIAL;65.518.839/0001-61
COND.EDIF. PALACIO ESCORIAL;65.518.839/0001-61
COND.EDIF. PALAIS ROYAL - MOEMA;68.150.630/0001-86
COND.EDIF. PARQUE DOS JERIVAS;64.724.156/0001-06
COND.EDIF. PARQUE DAS ACACIAS;54.068.655/0001-20
COND.EDIF. PARQUE DAS ACACIAS;54.068.655/0001-20
COND.EDIF. PIAZZA DI SPAGNA;69.272.631/0001-66
COND.EDIF. PRINCE OF SALZBURG;00.456.147/0001-90
COND.EDIF. TRASTEVERE;54.322.789/0001-26
CONDOMINIO ADVANCED ITAIM;10.676.494/0001-82
CONDOMINIO BK30 ALTO DA BOA VISTA;26.859.518/0001-79
CONDOMINIO CLUBLIFE MORUMBI SOLE;17.822.114/0001-10
CONDOMINIO COLINAS DO SUMARE;01056124000151
CONDOMINIO COSTA DO SOL;56.827.348/0001-01
CONDOMINIO DO EDIFICIO LORD REGENTE;29243060000117
CONDOMINIO DO EDIFICIO ITABOCA;72509367000146
CONDOMINIO DO EDIFICIO MARIA ANGELICA;40363244000153
CONDOMINIO EDIFICIO VISAGE;10.545.498/0001-21
CONDOMINIO DO EDIFICIO PIRAUBA;73252900000108
CONDOMINIO LAVANDISCA;22.346.419/0001-32
CONDOMINIO EDIFICIO VISTA ALEGRE;18.587.133/0001-71
CONDOMINIO EDIFICIO ANAPURUS;54.003.470/0001-38
CONDOMINIO LATITUDE ACLIMAÇÃO;28.796.601/0001-71
CONDOMINIO EDIFICIO ANAPURUS;54.003.470/0001-38
CONDOMINIO IBIRAPUERA CENTRAL PARK;54.069.729/0001-43
CONDOMINIO LAVANDISCA;22.346.419/0001-32
CONDOMINIO EDIFICIO GRIFFE EMPRESARIAL;61.408.076/0001-45
CONDOMINIO IBIRAPUERA CENTRAL PARK;54.069.729/0001-43
CONDOMINIO EDIFICIO MATISSE;67.985.580/0001-94
CONDOMINIO EDIFICIO GUARAVAI;54.198.973/0001-06
CONDOMINIO EDIFICIO OASIS CURSINO;20.891.731/0001-81
CONDOMINIO EDIFICIO GUARAVAI;54.198.973/0001-06
CONDOMINIO EDIFICIO OASIS CURSINO;20.891.731/0001-81
CONDOMINIO EDIFICIO VISAGE;10.545.498/0001-21
CONDOMINIO EDIFICIO MATISSE;67.985.580/0001-94
CONDOMINIO LINK STUDIOS & OFFICES;25.139.003/0001-31
CONDOMINIO LINK OFFICES;25.139.003/0001-31
CONDOMINIO LINK STUDIOS;25.139.003/0001-31
CONDOMINIO EDIFICIO RIO JURUA;00523435000110
CONDOMINIO MAXHAUS ITAIM;18.803.496/0001-05
CONDOMINIO QUARTIER CAMPO BELO;28.937.984/0001-50
CONDOMINIO RESIDENCIAL VILA HIPICA;10.217.165/0001-73
CONDOMINIO RESIDENCIAL VILA HIPICA;10.217.165/0001-73
CONDOMINIO STATION OFFICES SAUDE;20.487.655/0001-43
CONDOMINIO SUPREMO;14.072.790/0001-25
CONDOMINIO SUPREMO;14.072.790/0001-25
CONDOMINIO TERRA DA MATA;08.357.347/0001-06
CONDOMINIO VERONA;10.466.618/0001-03
CONDOMINIO VERONA;10.466.618/0001-03
CONDOMINIO. RESERVA ATLANTICA;04.932.830/0001-08
CONDOMÍNIO  MERIDIANI;57.859.795/0001-05
CONDOMÍNIO EDIFÍCIO DESIGN CAMPO BELO;20.816.338/0001-23
CONDOMÍNIO EDIFÍCIO DESIGN CAMPO BELO;20.816.338/0001-23
CONDOMÍNIO GREEN PARK;03.470.475/0001-30
CONDOMÍNIO GREEN PARK;03.470.475/0001-30
CONDOMÍNIO HYDE PARK;27194202000178
CONDOMÍNIO L'ESSENCE MOOCA;23.313.957/0001-93
Cerradinho Particip. S.A - 0001-11;11196718000111
CONJUNTO RESIDENCIAL VILLAGE DI TORINO;01.674.958/0001-20
CONDOMÍNIO MAISON ETOILE;24.312.466/0001-90
CONJUNTO RESIDENCIAL VILLAGE DI TORINO;01.674.958/0001-20
CONSTANTINA EMPREENDIMENTOS IMOBILIARIOS LTDA - FILIAL;27467586000236
CONDOMÍNIO MUSTIQUE;07.570.184/0001-74
Campo Limpo - Reciclagem e Transformação de Plásticos SA;09456668000112
CONDOMÍNIO RESIDENCIAL RAÍZES MORUMBI;23.941.270/0001-00
Cerradinho Bioenerg. S.A.;08322396000103
CONDOMÍNIO RESIDENCIAL RAÍZES MORUMBI;23.941.270/0001-00
Cerradinho Bioenerg. S.A. - 0002-86;08322396000286
CONDOMÍNIO VILLAGE PAINEIRAS;03.074.949/0001-24
Cerradinho Logistica Ltda;09457708000140
CONDOMÍNIO VILLAGE PAINEIRAS;03.074.949/0001-24
CONJ. RES. SOLAR DA BOA VISTA;57.009.615/0001-04
Condominio Perobas IV;02908537000180
Cerradinho Particip. S.A - 0002-00;11196718000200
Cidade Maravilhosa Industria e Comercio de Roupas LTDA;09611669000860
Cittá América;20247322022540
Condomínio A3 Offices;15598278000180
Condominio Attualita;12298730/0001-08
Condominio Residencial Itapoã;08.296.334/0001-66
Condominio Bandeira Pauliceia;36.766.263/0001-53
Condominio Residencial Le Soleil;14.487.188/0001-59
Condominio Edificio Monte Haramon;54070206000117
Condominio Residencial Refugio Cantagalo ii;12380452000125
Condominio Edificio Viviane;54.325.147/0001-80
Condomínio Agnes;01842093000164
Condomínio Barata Primo;33706811000161
Condomínio Alegrete;00069292000119
Condomínio Aladim;32365231000195
Condomínio Barra de Itaúna; 05486968000193
Condomínio Barão de Jaceguai;02137466000169
Condomínio Bauhaus;40281016000134
Condomínio Britânia;00281752000178
Condomínio Edifício Arquiteto Vilanova Artigas;10.953.300/0001-49
Condomínio Edifício Aimberê House;27.902.525/0001-79
Condomínio Edifício Alice;54.536.891/0001-24
Condomínio Edificio Residencial Rafael Sanzio;37305218000164
Condomínio Edificio Parque Villa Lobos;05220498000111
Condomínio Edifico Anajá;61062394000105
Condomínio Edificio Porcelana;00.099.490/0001-25
Condomínio Edifício Barbara;54.208.442/0001-57
Condomínio Edifício Acapulco;03676815000183
Condomínio Bruno Werner;22698222000162
Condomínio Deolinda Martins;07229801000172
Condomínio Edificio Barão de Araras;54465679000113
Condomínio Edificio Itaparica;55233845000119
Condomínio Edifício Camargo Guarnieri;07.289.498/0001-01
Condomínio Cardoso;07025815000174
Condomínio Conjunto Residencial Parque Ibirapuera;54.365.051/0001-46
Condomínio Duke;29241395000104
Condomínio Das Brisas;09032447000117
Condomínio Edifício Caramuru;02.986.358/0001-60
Condomínio Edifício Chibarás;59.085.589/0001-10
Condomínio Edifício Con Il Cuore;27.581.429/0001-76
Condomínio Edifício Cristiano Viana;71.730.121/0001-37
Condomínio Edifício Dom Pedro;67.142.224/0001-09
Condomínio Edifício Estoril;02098552000100
Condomínio Edifício Irlanda;54.490.099/0001-86
Condomínio Edifício Fontana del Tritone;54.964.630/0001-05
Condomínio Edifício Itapoa;58.795.634/0001-68
Condomínio Edifício JRS;10.424.300/0001-51
Condomínio Edifício Jardim d'Abril;56.346.034.0001-97
Condomínio Edifício Latitude;10.791.138/0001-00
Condomínio Edifício Lindóia;97.332.928/0001-05
Condomínio Edifício Modulor Tangram;65.085.797/0001-12
Condomínio Edifício Modular Alfa;55.806.020/0001-46
Condomínio Edifício Metrópole Marques de Olinda;17.139.702/0001-53
Condomínio Edifício Montecatin;00746755000130
Condomínio Edifício Módena;02.461.814/0001-59
Condomínio Edifício Nob hill;67.849.265/0001-30
Condomínio Edifício Place Vendome;54.200.894/0001-92
Condomínio Edifício Real;58926122000193
Condomínio Edifício Real Parque V;24.585.179/0001-54
Condomínio Edifício Renata;59.936.104/0001-55
Condomínio Edifício Residence II;54.024.187/0001-92
Condomínio Edifício Residencial Giardino;14.606.753/0001-50
Condomínio Edifício Santorini;24464171000130
Condomínio Edifício Segundo;57999211000105
Condomínio Edifício Sonata Residence;19.319.210/0001-75
Condomínio Edifício São Silvestre;67.634.154/0001-06
Condomínio Edifício Tom Jobim;04.891.862/0001-02
Condomínio Edifício Villagio Di Firenze;38.893.129/0001-49
Condomínio Espaço Comercial Vila Mariana;27.717.406/0001-46
Condomínio Fernando Osório;68655737000186
Condomínio Flamboyant Garden;01351371000180
Condomínio Figueira;72364953000140
Condomínio Gioacchino Rossini;29254133000176
Condomínio Guarujá;00058815000121
Condomínio Imperator;00360153000140
Condomínio Inhangá;02731639000172
Condomínio Jamele;21347184000130
Condomínio Jardim de Ipanema;00173654000117
Condomínio Madressilva;01258231000162
Condomínio Les Palais;14711455000120
Condomínio Life Style;23.556.139.0001-11
Condomínio Luzes da Mata;09.597.966/0001-22
Condomínio Manguaba;39935895000191
Condomínio Mais São Cristovão;16718268000101
Condomínio Maria da Glória;39418876000198
Condomínio Marina II;35796697000133
Condomínio Maripá; 01749673000101
Condomínio Montpellier;06115712000132
Condomínio Osmar;72403363000189
Condomínio Palazzo do Maracanã;21241656000176
Condomínio Pasargada;03391813000148
Condomínio Paulo Negrão;00255049000195
Condomínio Pax;00811482000160
Condomínio Perobas IV ;02908537000180
Condomínio Poliana;66865387000157
Condomínio Piracicaba;39074307000172
Condomínio Polux;00190807000134
Condomínio Residencial Ilha de Boaçava;62.024.997/0001-77
Condomínio Residence Milan;36631868000137
Condomínio Portus da Barra;68716307000127
Condomínio Residencial Villagio do Ipiranga;33.656.592/0001-53
Condomínio Residencial Helbor Loft Evolution II;05.972.316/0001-69
Condomínio Premiere;18486470000172
Condomínio Ritz;01405043000110
Condomínio Residencial Priori Juquiá;29641864000174
Condomínio Residencial Tulipas ;26220275000124
Condomínio Samira;00120106000129
Condomínio Rivieras D'Florença;28939294000130
Condomínio Shopping Center D;00087900000118
Condomínio Solar Satélite;29269578000120
Condomínio Solar Uberaba;39083191000138
Condomínio Solar dos Coqueiros;40276859000142
Condomínio Studios Vila Santa Catarina;18.905.404.0001-90
Condomínio Sundance;07554010000118
Condomínio Vila Bela;30871244000100
Condomínio Sunrise Residence Service;07404555000148
Condomínio Tour D'Avignon;29278819000105
Condomínio Uirapuru;06301604000154
Condomínio União;35798792000176
Condomínio Via Alto Mapendi Reserva;24107966000190
Cotax;38184154000153
Condomínio Vila Maria Julia;00058797000188
Contour Global do Brasil Holding LTDA;09531894000110
D. CENTER DISTRIBUIDORA LTDA.;05651966000455
D003-RIO DE JANEIRO;51427102000390
D009-SALVADOR;51427102000986
D014-FORTALEZA;51427102000471
D015-GOIÂNIA;51427102001524
D032-MANAUS;51427102003225
D016-BRASÍLIA;51427102001605
D038-SÃO JOSÉ DOS PINHAIS;51427102003810
D030-ANANINDEUA;51427102003063
D042-VÁRZEA GRANDE;51427102005279
D064-CONTAGEM;51427102006402
D082-TABOÃO DA SERRA;51427102008294
D112-SÃO JOSÉ;51427102011244
D111-JABOATÃO DOS GUARARAPES;51427102011163
